Unternehmen,Ticker,Gewichtung_pct
Bunge Global Sa,BG,0.023827
Healthpeak Properties Inc.,DOC,0.023598
Jacobs Solutions Inc.,J,0.023476
Deckers Outdoor Corp.,DECK,0.023399
Lyondellbasell Indu Cl A,LYB,0.022852
Stanley Black + Decker Inc.,SWK,0.022622
Everest Group Ltd.,EG,0.022262
Las Vegas Sands Corp.,LVS,0.022230
Globe Life Inc.,GL,0.022029
Cooper Cos Inc.,COO,0.021919
Tko Group Holdings Inc.,TKO,0.021498
Regency Centers Corp.,REG,0.021330
Gen Digital Inc.,GEN,0.021204
Ptc Inc.,PTC,0.021149
Echostar Corp. A,ECHO,0.020799
Assurant Inc.,AIZ,0.020739
Pinnacle West Capital,PNW,0.020735
Mccormick + Co. Non Vtg Shrs,MKC,0.020577
Leidos Holdings Inc.,LDOS,0.020253
Aptiv PLC,APTV,0.020222
Rollins Inc.,ROL,0.020108
Avery Dennison Corp.,AVY,0.020055
Revvity Inc.,RVTY,0.019953
Tyler Technologies Inc.,TYL,0.019628
Costar Group Inc.,CSGP,0.019546
Pentair PLC,PNR,0.019542
Jm Smucker Co.,SJM,0.019516
Lululemon Athletica Inc.,LULU,0.019482
Zebra Technologies Corp. Cl A,ZBRA,0.018967
Allegion PLC,ALLE,0.018782
Clorox Company,CLX,0.018761
Udr Inc.,UDR,0.018702
Trimble Inc.,TRMB,0.018699
Align Technology Inc.,ALGN,0.018604
Solventum Corp.,SOLV,0.018520
Camden Property Trust,CPT,0.018495
Apa Corp.,APA,0.018462
Invesco Ltd.,IVZ,0.018388
Baxter International Inc.,BAX,0.018093
Hasbro Inc.,HAS,0.018009
Godaddy Inc. Class A,GDDY,0.017715
Charter Communications Inc. A,CHTR,0.017677
Bio Techne Corp.,TECH,0.017618
Huntington Ingalls Industrie,HII,0.017499
Insulet Corp.,PODD,0.017341
Aes Corp.,AES,0.016552
Charles River Laboratories,CRL,0.016443
Skyworks Solutions Inc.,SWKS,0.016180
Franklin Resources Inc.,BEN,0.015951
Fox Corp. Class A,FOXA,0.015813
Bxp Inc.,BXP,0.015761
Federal Realty Invs Trust,FRT,0.015611
Norwegian Cruise Line Holdin,NCLH,0.015535
Jack Henry + Associates Inc.,JKHY,0.015173
Builders Firstsource Inc.,BLDR,0.015167
Mgm Resorts International,MGM,0.014762
News Corp. Class A,NWSA,0.014669
Domino S Pizza Inc.,DPZ,0.014445
Gartner Inc.,IT,0.014299
Alexandria Real Estate Equit,ARE,0.013653
